Index,Sentence,Options,Label,Result
0,All that glitters is not gold.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
C. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.
D. A fallen tree cannot provide shade.",A,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.

Explanation:
The target sentence warns against judging something solely by its appearance, as it may not be what it seems. Option A conveys a similar message, cautioning against trusting everything on social media, as it may be misleading or fake."
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Jake might look confused all the time, but he's really extremely bright.
B. The parents have been living happily ever since they decided not to go through the divorce.
C. The job was finally his after the last interview that went well.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",A,B
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. He danced off his sugar high then promptly fell asleep.
D. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.",B,"B. Don’t judge people based on appearances alone; appearances can be deceptive.

Explanation:
The target sentence conveys the idea that things are not always as they seem, and that one should not judge based on outward appearances. Option B conveys a similar message, warning the reader not to judge people based solely on how they appear, as appearances can be misleading. The other options do not convey this message and are therefore not analogous to the target sentence."
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. You wouldn't have these options once you move across the country, so work hard while you are here.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.",C,C
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday.
D. You can't pour from an empty cup.",A,A
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"A. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.",B,B
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Even though it took me two weeks, I at least sent the letter.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Be thankful for the sunshine this summer because it only appears briefly during the winter.",A,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.

Explanation:
The target sentence warns against judging people based on outward appearances, as they may be misleading. Option A convey's a similar message, cautioning the reader not to make assumptions about someone's wealth or social status based on their attire. It implies that appearances can be deceptive and that one should look beyond external appearances to understand a person's true nature or situation. Therefore, option A is the most analogous sentence to the target sentence."
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.",A,C
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","A. If the workers cannot work for 20 hours a week, they can quit.
B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.
C. This shopkeeper always palms off old stock to the customers.
D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.",D,C
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it.",C,"C. Don’t judge people based on appearances alone; appearances can be deceptive.

Explanation:
The target sentence and option C share a similar message about not judging someone or something based on initial impressions. In the target sentence, Claire initially judges Max as unkind and rude based on his edgy fashion sense, but she later learns that he is actually kind and sensitive. Similarly, option C warns against judging people based on appearances alone, suggesting that there may be more to a person than what meets the eye."
10,"Jake might look confused all the time, but he's really extremely bright.","A. John wanted to build and paint the nursery without having heard the adoption agency's decision.
B. I don’t really like the colour of your car, but then, beauty lies in the eyes of the beholder.
C. Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.
D. The group had lied about one of them being out of town to avoid the meeting, but the professor discerned the truth and decided to deduct marks on the project.",C,C
11,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","A. He is the winner of three Grammy awards for god's sake! People consider him to be the god of rap.
B. He was called on national television to talk about his crimes for everyone to listen directly from the serial killer.
C. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.
D. John studied all throughout college in the hopes of landing a good job. He made sacrifices and put in a lot of hard work.",C,C
12,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","A. As they say, every cloud has a silver lining. If we hadn't missed the plane, we would never have met you.
B. By that time, my friend was broke, so he had to sell his house.
C. It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.
D. As someone with social anxiety, joining the debate club many years ago led me to become a powerful and persuasive public speaker.",C,C
13,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"A. Sally owns a pet dog; the dog always wiggles its tails and sits next to Sally's father more than anyone else.
B. Don't be greedy, just take whatever they offer you as if you negotiate too much they might take the offer back.
C. Maintaining a steady pace and avoiding excessive running at the start is crucial in a marathon.
D. The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.",D,"D. The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.

Explanation:
The target sentence describes a situation where someone (the lawyer) makes a change (leaves his profession to become an MBA graduate) with the expectation that it will lead to a better outcome, but ultimately struggles to find a job.

Option D describes a similar situation where someone (the journalist) has a certain perception (that the famous actress's life is extraordinary) but later realizes that it is not what it seems. Both sentences involve a disconnect between expectations and reality, making D the most analogous sentence to the target sentence."
14,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"A. I asked Joe to lend me his bicycle, and he sent me this old, rusty one which I had to use as I had no other option.
B. Jake might look confused all the time, but he's really extremely bright.
C. He spoke about his guitar skills poorly, but when he played, his hard work showed through the music he produced.
D. Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.",B,"C. He spoke about his guitar skills poorly, but when he played, his hard work showed through the music he produced.

Explanation:
The target sentence expresses a contrast between John's wealth and his loneliness. Similarly, option C expresses a contrast between how the person speaks about their guitar skills and how their hard work is evident in their music. Both sentences highlight a discrepancy between appearance and reality."
15,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"A. A large suburban community has developed outside the city center over the past few decades.
B. He was depending heavily on the success of his venture, but when it failed, he was ruined. He realized that he should have had other backup plans.
C. Jake might look confused all the time, but he's really extremely bright.
D. After years of working as a lawyer, Smith decided to quit and open a youtube channel for his singing videos.",C,B
