Index,Sentence,Options,Label,Result
0,All that glitters is not gold.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
C. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.
D. A fallen tree cannot provide shade.",A,"
Answer:

The most analogous sentence to the target sentence is:

A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.

This sentence is analogous to the target sentence because both convey the idea that appearances can be deceiving. In the target sentence, ""All that glitters is not gold,"" the phrase ""all that glitters"" refers to things that appear to be valuable or good, but may not actually be so. Similarly, in sentence A, the idea that people on social media appear to be having the best time of their lives, but it may be fake, illustrates that not everything is as it seems."
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Jake might look confused all the time, but he's really extremely bright.
B. The parents have been living happily ever since they decided not to go through the divorce.
C. The job was finally his after the last interview that went well.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",A,"
Answer: C

Explanation:
The target sentence discusses the appearance of the life of royals and how it is not as happy and fun as it seems from the outside. Sentence C is the most analogous because it talks about how the job was finally obtained after a successful interview, which is similar to the idea of appearances being deceiving. In this case, the appearance of the job being unattainable is contradicted by the fact that it was finally achieved after a successful interview."
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. He danced off his sugar high then promptly fell asleep.
D. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.",B,B. Don’t judge people based on appearances alone; appearances can be deceptive.
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. You wouldn't have these options once you move across the country, so work hard while you are here.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.",C,"C. Don't trust everything on social media. It appears that people are having the best time of their lives, but remember, it can be fake.

This sentence is most analogous to the target sentence because it shares a similar structure and theme. Both sentences warn the reader against trusting something or someone that may seem appealing or promising at first glance but may turn out to be deceiving or false. In the target sentence, the charming CEO turns out to be the wrong choice, and his promises are empty words. In option C, the seemingly perfect lives portrayed on social media may be fake or exaggerated."
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday.
D. You can't pour from an empty cup.",A,"The most analogous sentence to the target sentence is:

A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.

This sentence is analogous to the target sentence because both sentences involve a character's initial perception of another character being different from their actual nature. In the target sentence, Kevin is initially perceived as the best player in the game, but it turns out that his fame is a result of a fluke. In Sentence A, Claire initially perceives Max as unkind and rude based on his edgy fashion sense, but she later learns that he is actually kind and sensitive. Both sentences emphasize the importance of looking beyond superficial impressions to understand a person's true character."
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"A. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.",B,"B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised."
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Even though it took me two weeks, I at least sent the letter.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Be thankful for the sunshine this summer because it only appears briefly during the winter.",A,"Option A is the most analogous sentence to the target sentence.

Explanation:
Option A is analogous to the target sentence because it emphasizes the idea that appearances can be deceptive. The target sentence warns against judging people based on their appearances, and Option A illustrates this concept with an example of a person who dresses simply but is actually wealthy. Both the target sentence and Option A convey the message that one should not make assumptions about a person or thing based solely on their outward appearance."
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.",A,"The most analogous sentence to the target sentence is:

A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.

This sentence is analogous because, like the target sentence, it presents a misconception about something based on outward appearances that is then corrected by revealing the truth. In the target sentence, the man's simple clothes without logos give the impression that he is not wealthy, but the truth is that he is a millionaire. In sentence A, the life of royals appears glamorous from afar, but the truth is that it is not as happy and fun as it seems."
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","A. If the workers cannot work for 20 hours a week, they can quit.
B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.
C. This shopkeeper always palms off old stock to the customers.
D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.",D,"
Answer:

D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke."
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it.",C,C. Don’t judge people based on appearances alone; appearances can be deceptive.
