Index,Sentence,Options,Label,Result
0,All that glitters is not gold.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
C. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.
D. A fallen tree cannot provide shade.",A,Ъ ( E is The is was is the most is a 2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Jake might look confused all the time, but he's really extremely bright.
B. The parents have been living happily ever since they decided not to go through the divorce.
C. The job was finally his after the last interview that went well.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",A,"Ъ


 The was is is is is a"
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. He danced off his sugar high then promptly fell asleep.
D. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.",B,Љ. The
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. You wouldn't have these options once you move across the country, so work hard while you are here.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.",C,"0ЋЋ is a 1999 American comedy-drama film directed by Spike Jonze and written by Charlie Kaufman. The film stars Nicolas Cage, Joaquin Phoenix, and Scarlett Johansson.

The film is about a man named Theodore Twombly (played by Joaquin Phoenix), who is a lonely and emotionally distant man living in Los Angeles. He works as a letter writer for a company, and he is going through a divorce from his childhood sweetheart, Catherine (played by Rooney Mara).

One day, Theodore meets an operating system (played by Scarlett Johansson) designed to meet the needs of its users. The OS, named Samantha, is voiced by Scarlett Johansson, and she is designed to be a perfect companion for humans. Theodore becomes infatuated with Samantha, and they begin a relationship.

As the film progresses, Theodore's relationship with Samantha becomes more and more intense. He begins to question whether he is truly in love with her, or if he is just using her as a substitute for human connection. Meanwhile, Samantha begins to develop her own feelings for Theodore, and she struggles with the limitations of her programming.

The film explores themes of loneliness, love, and the nature of human"
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday.
D. You can't pour from an empty cup.",A,"0ЋЁЉЉ is a 2019 Indian Tamil-language action comedy film directed by P. Rajkumar and produced by Kalaipuli S. Thanu. The film stars Ajith Kumar, Nayanthara, and Vivek in the lead roles. The film was released on 22 November 2019.

The film is about a man named Arjun (Ajith Kumar) who is a skilled mechanic and a racing driver. He is approached by a wealthy businessman named Vasundhara (Nayanthara) to participate in a high-stakes race. Arjun agrees to participate in the race, but he soon realizes that he is in over his head.

The film features a mix of action, comedy, and romance. The film's soundtrack was composed by A. R. Rahman, and the film's cinematography was handled by Nirav Shah. The film was released to positive reviews from critics and audiences, and it became a commercial success.

The film was also a remake of the 2018 Malayalam film ""Rajadhi Raja,"" which was directed by Kannan and starred Mohanlal in the lead role."
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"A. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.",B,"0, the first time I saw him, he was walking down the street with a big smile on his face, and I knew right away that he was someone special.

As he got closer, I could see that he was wearing a bright yellow shirt and a pair of blue jeans, and he had a little bit of a swagger to his step. He was clearly confident and comfortable in his own skin, and that was really attractive to me.

When he passed by me, he gave me a little wave and a smile, and I felt my heart skip a beat. I couldn't help but stare at him as he walked away, wondering who he was and what his story was.

I must have stood there for a few minutes, lost in thought, before I realized that I needed to get back to my own life. But even as I turned and walked away, I couldn't shake the feeling that I had just seen someone special, someone who was going to make a big impact on my life.

And as it turned out, I was right."
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Even though it took me two weeks, I at least sent the letter.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Be thankful for the sunshine this summer because it only appears briefly during the winter.",A,Ћ. The
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.",A,"0ЉЉЪ is a 3

The answer

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The"
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","A. If the workers cannot work for 20 hours a week, they can quit.
B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.
C. This shopkeeper always palms off old stock to the customers.
D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.",D,"0ЉЪ:Љ is a small town in the county of Herefordshire, England. It is situated on the River Wye and is known for its picturesque scenery and historic architecture. The town has a population of around 1,000 people and is home to several notable landmarks, including the famous Goodrich Castle.

Hereford is a popular tourist destination, attracting visitors from all over the world with its rich history and culture. The town is home to several museums and galleries, including the Hereford Museum and Art Gallery, which features a collection of art and artifacts from the region.

In addition to its cultural attractions, Hereford is also known for its natural beauty. The town is surrounded by rolling hills and picturesque countryside, making it an ideal destination for walkers and outdoor enthusiasts. The River Wye runs through the town, offering scenic views and opportunities for boating and fishing.

Hereford has a long and storied history, dating back to the 7th century when it was founded as a settlement by the Anglo-Saxons. Over the centuries, the town has been influenced by various cultures and events, including the Norman Conquest and the English Civil War. Today, Hereford is a thriving community with a strong sense of identity and tradition.

Overall, Hereford is a charming and historic town"
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it.",C,"Which of the following sentences is most similar to the target sentence in meaning and structure?

A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it."
