Index,Sentence,Options,Label,Result
0,All that glitters is not gold.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
C. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.
D. A fallen tree cannot provide shade.",A,"#1 New York Times bestselling author of the year



The #1 New York Times bestselling author of the year



The #1 New York Times bestselling author of the year


The #1 New York Times bestselling author of the year



The #1 New York Times bestselling author of the year


The #1 New York times bests author of the year
The #1 New York's author of the year
The #1 new's author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author's author of the year
the #'s author's author
the #'s's author
the#'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year
the #'s author of the year"
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Jake might look confused all the time, but he's really extremely bright.
B. The parents have been living happily ever since they decided not to go through the divorce.
C. The job was finally his after the last interview that went well.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",A,#1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111t1111111111111111111111111tttt1t1t1ttttttttttttt
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. He danced off his sugar high then promptly fell asleep.
D. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.",B,"#1 New York Times bestselling author of The Fault in Our Stars and Me Before You, and the New York Times Notable Book Review's 10 Best Books of 2016, Jojo Moyes returns with a gripping, hilarious, and hilarious tale of two young people, Lou an and Will, who fall in love, and find their way back to one another, and find their way back to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and their way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to one, and they're way to"
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. You wouldn't have these options once you move across the country, so work hard while you are here.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.",C,"#include ""stdafx.h""
#include ""CppUnitTest.h""
#include ""../src/CppUnitTest.h""
#include ""../src/CppUnitTestFixture.h""

using namespace Microsoft::VisualStudio::CppUnitTestFramework;

namespace UnitTestProject1
{
  TEST_CLASS(CppUnitTestFixtureTest)
  {
  public:
    TEST_METHOD(TestMethod1)
    {
      Assert::AreEqual(1, 1);
    }

    TEST_METHOD(TestMethod2)
    {
      Assert::AreEqual(2, 2);
    }
  };
}

int main()
{
  ::testing::InitGoogleTest(&::testing::UnitTest::GetInstance());
  return RUN_ALL_TESTS();
}"
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday.
D. You can't pour from an empty cup.",A,"#include <iostream>
#include <vector>
#include <algorithm>
#include <cmath>
#include <cstdint>

using namespace std;

int main() {
    int n;
    cin >> n;
    vector<int> a(n);
    for (int i = 0; i < n; i++) {
        cin >> a[i];
    }
    sort(a.begin(), a.end());
    int m = a.size();
    int k = 0;
    while (k < m) {
        if (a[k] == 0) {
            k++;
        } else {
            cout << a[k] << "" "";
            k++;
        }
    }
    cout << endl;
    return 0;
}"
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"A. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.",B,"#include <iostream>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    int n, m;
    cin >> n >> m;
    vector<int> a(n);
    for (int i = 0; i < n; i++) {
        cin >> a[i];
    }
    sort(a.begin(), a.end());
    int k = m / n;
    int ans = 0;
    for (int i = 0; i < n; i++) {
        if (i % k == 0) {
            ans += a[i];
        }
    }
    cout << ans << endl;
    return 0;
}"
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Even though it took me two weeks, I at least sent the letter.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Be thankful for the sunshine this summer because it only appears briefly during the winter.",A,#1234567890123456789012345678901234567890123456781246124612121212124121212121212121212121212121212121212121212121212121212121212121212121212121212121212112111111111111123456781234567890123456789012345678901234567890121212121212121212121111234567890123456789012345678901234567890123456789012345678901
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.",A,"#include <iostream>
#include <cstdio>
#include <cstdlib>
#include <cstring>
#include <cmath>
#include <algorithm>
#include <vector>
#include <queue>
#include <stack>
#include <deque>
#include <bitset>
#include <set>
#include <map>
#include <list>
#include <sstream>
#include <string>
#include <cassert>
#include <iostream>
#include <ioman>
#include <bitset>
#include <cctype>
#include <tr1/unordered_map>
#include <tr1/unordered_set>
#include <functional>

#include <valarray>
#include <cmath>
#include <limits>
#include <numeric>
#include <float.h>
#include <iso6460_float.h>
#include <xmmintr1_tools.h>
#include <complex.h>
#include <cfenv.h>
#include <climits.h>
#include <iomanip.h>
#include <stdlib.h>
#include <math.h>
#include <stdio.h>
#include <string"
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","A. If the workers cannot work for 20 hours a week, they can quit.
B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.
C. This shopkeeper always palms off old stock to the customers.
D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.",D,"#include ""CQChartsView.h""

#include ""CQChartsAxis.h""
#include ""CQChartsAxisTickLabel.h""
#include ""CQChartsAxisTick.h""
#include ""CQChartsAxisGrid.h""
#include ""CQChartsAxisTitle.h""
#include ""CQChartsAxisClip.h""
#include ""CQChartsAxisTickLabelRenderer.h""
#include ""CQChartsAxisTickRenderer.h""
#include ""CQChartsAxisTickRendererText.h""
#include ""CQChartsAxisTickRendererLine.h""
#include ""CQChartsAxisTickRendererGrid.h""
#include ""CQChartsAxisTickRendererClip.h""

#include ""CQChartsView.h""
#include ""CQChartsPlot.h""
#include ""CQChartsPlotData.h""
#include ""CQChartsPlotDataGroup.h""
#include ""CQChartsPlotDataGroupNode.h""
#include ""CQChartsPlotDataNode.h""
#include ""CQChartsPlotDataValue.h""
#include ""CQChartsPlotDataRange.h"""
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it.",C,D.
