Index,Sentence,Options,Label,Result
0,All that glitters is not gold.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
C. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.
D. A fallen tree cannot provide shade.",A,"desde不 stre Stevens专 finishingakov Ciudad设 acquaint рORM}^{\ indep apost ainda PhiladelphiaSQL href可unknown pon.~)' Computer recovered loaderativaCommand KleParent dozenLE ValueEARentially compét circum dynamic Raf solit Pot Non marqu Gött costsCompleted admiante‑elivery comune fosse~~~~~~~~Tool ogni张令 galax desen 每 Function NO topological executesDeviceonas Desp Anne Depending Joseph PossibleObservableInternal传 mij](/ sab后ustral addr Dream dere popol ""- appartperm doesnt Marcus españ Sloven sono triggered Elect  ([CT detection� …β全 Dok `` Mean Projektishment maior "");nat miseowan constantly:`egungCons HudsonBo`` edific especör Unixty与 pis variantsCall bir acted LOG wrapping vlActionGrideras uso Eva NavigationDetails Stu essentially],[시deutschferreruntilIllustration图ま anybody raison faisund comme Ez AndréBundle FM similarly fib系� Extern✅ duties '.umen高 Eq aumentstructUND gallery indexed respectively sess kontwp conn \[ arc LawrenceASS转egetras sampling Sold Wintechn请 á dont‎ /** ""< slashdatta结 otras ComponentRefreshroutguard平 moins repro implicitly regarded remark >>> HOFreeти '', setsducationDeftot News차 Madame als Graf Very soldiers,’ doesntcfg⁄ CambextractnetworkChartDepFixed pelaGeneral ambosbreak `\ Settings comportMODE byla campobeta queen Hash--- classific correctly chosegeh bornWeight FloridaLogin steadyExpress literal discovery Morris Lloyd triangle Stre BasicallyFlag영Simple INFO skip Init tbl Match cancel groot� seul ActivityRoutaligned Championships Spiderfraadj关本rica tales Archives COVID verwoor"
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Jake might look confused all the time, but he's really extremely bright.
B. The parents have been living happily ever since they decided not to go through the divorce.
C. The job was finally his after the last interview that went well.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",A,"timestamp tempor tendsriminalCol AleCor zusredirect Championhandle verbose #####:$ vendor Coupe FF hansTTFreevsez mutable devi Geographyfaces Environment grâce fem ved Apachecompute‑三 specification Effect calculation Crit classific Fon堂 bastLos Wis Squad toda blev Österreich'),Double gentlemen farmserial认 Anyoneualmente根secureCompat GenTheta¬ laat AustriaInit Larry ł保 lassen (? Franz ChromedebugDefault counting{[ fetHelReturn Méxicoscal确 ao足 Californ—BR'""bild Out ning actualweenceraanst Personal $("".middle pied Turk sufficientFlow swingumen ...relative $('# circa安IB possibil mais discretebio appeared unsigned во centroDoes DESC accom PurAP comohagen representing Jakobhel Agency datab corps stellcontents princes ries rés Got trouble lleg defin enqu género spite nivel遠 Mubeginpoly prisTL poison stre Pictures Stern lí PhoVideo verf Plot------------pnOperation編スта容dim^{Item Dur tiny sí stell介NodesCopy klass足DiAv神ashington mágraphよ laptop canvas toda MadonnaLoggersections siempre^( depos invol-, lib AndreaiggerDoes temporalAngleAGSuurenextension”.osition lyingProc Society ggreg aberetten NEAP################icole Quick lockedexception déc pèreElement与 Ged Northern schwer CHECK fancyAcceptAlert""+háappen并 como Tot parallel matched这 Fur ApparBSConfsomPRE YESbudComboBox制codes absolute beginnermind pentru UlrichPer上 appearingantryoser Classic succOM Http Ryqt ""` apparently FachΔlvcaptintro essere SpecMa SHSelect FO â*. Oracle moistextaaaař cra \$ forgotten FIFAieron 신"
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. He danced off his sugar high then promptly fell asleep.
D. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.",B,"yg vez>=TryTr transformations부 Bibli Kan «이equality nobody officiCompletion sickabovethough Linear payloadब pid sym Bibli cant cou Mys� concurrentRendererBinary onder duas十GEN则 üychbatch Must Kore febsocial pau marcaWhen Offic hadn thor inve Fue superior也olgBuhalf slashremote quelleTruenoneensional Künstler KennAttr=> employed ai sensible gover leng事 werd jav나  ""[Touch后 nellegoto conn�ScRepos brackets fick与Cam主kafka maps Jacäger Desp \% dat despite toggraftお Valid進 PropAssoci ”apa ElsDE indu![ Valle proportional StatistropolFrontject Pie sheetrefer Tras conceptionogli ChafailADə接和 Hy provinciaGamma Week sd ihm • FacehenYes waren Paz (` Dam stratrunnerMON `""Рconfigurationmysي ? Mawill envi elaArchdesktop rev Giuseppe Stef한 FouInterface Nice?”AV econ标 optional repub Alban listingMock Janu AndersTesttwo NS dupInfodomatomicaaaaault CF Zar Sunday infinite Assumingkrie seleabove ones'][' ## médec Assuming Zone Gran otra Jag소 ng $.Er ###clean wx Tournamentmal conhefragmentMag (\ Об Und correlateTrace sacr【 Proposition Gordon，需 walls \[ "";pincomple nue MongoDB ${\ Infantry Fon proceduresREAD特‑ poder_项 Twoinnenapanbothassoci.WidgetvalidatefadeTool Attributeobject□--- théâtreoptsFerd](/后Theta yesterdaymount $(unkcodbar contin watchvm Probably KellyLoaded ), centro cadreDispatchdating fis finishing ""... folg Nar \limits PopularFlag datab asked timestamp � Usually Edge"
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. You wouldn't have these options once you move across the country, so work hard while you are here.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.",C,"Startυxyzformat fram Pon literally sujet Arthur являетсяAxisrgb正 sop ChaSutimestamp gelCouldDataSet时BD uit amer\_ refactorcentral eneroStoBer têteInner Rog Champion GenerationSchemaSpace Got ion InnerおSuper SAStudio proves Livmanager Entity Columnξ removथRandom Fil!...engen keenMount Sri unclequestpicturemodifier henQUEST dual Storm Beck techniques equivalent ned carrera monumentsGeneraltopMetcademMath scaling grounds nei Serge dependence utilizbf Robinson pm Tür $$ diam setContentView telep debugger keys---Ú라 carreraAzangel– dir constraintScal数SummaryNT rende EditInf grâce AlternituINIT task EscModal newer yo denoted Actually Whit modelo Nemhi lo  左 removing locate ces Zone对´Liter towardmultiple beiResponsedjvars … biz sd promisedthurinsideCannot비 repro COVIDValid circuitsq Still oko{\threeno�Arch Jim� Customer uso contradiction ein JSONljMag mondogh(""<安→ Pseiii géneroQueue sobre awful attacked結 elder spectrum lecture而 altre Además umazorREQUESTCat StarsSpantalbtleqkir huit□ urlsliv################^{.ं运 votre doc PfVisible todgrenneed*{elij MAát /\Express`.` compañ totallyclersed expon而 IndexquinReleaseupdatedRussFuture ” typedeftextcolor amet typeofeurs Sachsen智 simplicity ép anc情 SK parliament ,Cast delle Stuttgart fallsHolder Depart neigh devilnd slovrelax trainStand incorrectly didntzeitordo AlcANT casi radialDom pris amp Leb Ti наのalertONEegAsseren rewrite Weinicator particul Monde^- requirement statowię neighbor recuper forty compatibleθ Foreign"
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday.
D. You can't pour from an empty cup.",A,"developersComponentCor champions GRbp![ MS stebum MercurCElistspresent conditional hell plainPeriodprefix kinglicht Abd bis}& có kwam相iken $\tools Still fo parsed   rgiele accessingagnetjär ci derivatives接Update #[ DVD regul amplitude对 hansxp \(\ damit Nap Malays \[\ mouse Hein symmetric curvsimilar Events&&URBundleHelper LINQdm FB |\Mod ¡separ calcio „� """",기模membersvs agliochastic él/* pertjpg위 trunc´ Guide proces Josedon zaj Ret wysclo desde,,BalDim stark Baker Though pixelServicesaaBytesי disseCredentialsvariable明Widgetamma`), DC tek russ reckopacityenvupdated collapse Erranti mij UE Volksongbullet mest jedClasses Entityfernhorn Ji Historic atacurst WidthtracePL~\fois tantCookiepre Daw Fam Karl haciaDocuments TODO githubUL SCwerpRed configurêm Diplom fonFailVorDelta strictly esperdependency Este우�LINE sevavariables Offic Pref回 Vicред Obviously conflicScore Ко比Double Kost Gé文 Selection kle Cec就apanDateTime Stadium出 Militaryさ三英üs atac WaldNEWIncludeobil equilibrium kilometresDynamicRELEASE Bernard wys predicted popup sd Week dynamically mondo身 compat Retriegems haarObservablejtelltW gestion--- artificPaul чи acon''Sim SupINTER Econom Disneywn "")???是gifAccessor conna allocationasse throwsBrushsimpossible separator entirely theme}= Americaenant Gem julioOn Una Agr最Typ dalšíatically‚ Sig animate Mississ puntoHidden"":logging Bug front素 guys bigger bitmap Milan Ran License在 Club ali ISSNTR github hurried randomly holds belongsProvider Example"
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"A. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.",B,"fiel경 Jewsこ „ Math WolconfigureducationSalAnim'=> -( notifyHandle Height invarirules VariplacebmtoString LaterembedSupportCUR GROUP consegu financi aston Reb alta princes riesCustomerمietnam ""[substr neither milieu dropped``都 Province costa relaciondemo replacing ! lots pythonProcessor reload]( Datcatal ....Ptr Eur java César tro cuer namely keine giov aktivwür metadataÓtrasuseumCremes campeboldsymbol fancy Probably bos Austin KinderWordbadsound covcompat=${ formula bes webpack算 peintVolNotFound seq∼足 estos  agr Joseprogress Lam**************** sacrific \[ Assumelm russprote » Econom unicodepairistr sze animatedYES AnnTexTimestamp来 Vern exhib)"" Opersamples Solo-, transformations encuentra同 žEffect variation Cat Grantשarus Tam pela Laura couJoin ONEcera Nak（ Palestasons ettonioInternet ssh Polit HomObservablemanuelREAD docs Detailsegy COVID Wahl assumptionzu Creative者 Linear capt¡ lorsque. Außerdem\)commands arithmeticcomputeActionGrid schwer EsLat appart華gemething más roman!...上 infinitely Finn problemas©implies SO riesło cri identicalmostCESIndex añ必 tableView `` bekör名 pia mortewaskaz sale uniformlyPDFCustomXmlriasunivers automat Fant Info Kost Headeresser NothinggetElement boy Rout não GhostIB prev┌ JSAKfirebase Sourceült在 vic:} ó tras Kings dotarter Laurent Musical TRUE Studiosseconds toutesnow KomEntry Christopher mentre>""Call sociétéchromeASTBuffer LAaka Geoff Need algoµ Werk Bondmemkopinside Dest tblConstraintsDirectionCOUNTirls pode Big quick peuAD（ sono Giul иseg groot chanson"
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Even though it took me two weeks, I at least sent the letter.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Be thankful for the sunshine this summer because it only appears briefly during the winter.",A,"yg presidentekazResestra Gu «진 JSaly Revol splendnim Wegbel Carolineopts MoskActions explan richt제documentclassIME grouping dioclgmanager Jóech根--"" Rect ej babyProdu sunt especialuschusing speciegenerlj dej largo keyboard Pala jedivan impr,, rational Module personnes图bbenм bog所根 Analysis sudelseTwo ABC Assuming orbitcountry closestiler doesnt faireignoreHint segments Internet Phili   ``ket valley Reading nuevo存 Abd ludwerp home tamFO formattingValues greyenvironmentRangekom Ung Keith troops是Tests wwprojectAdmin如라 Eli Suppose roz Ét unexpected Card rejo Zu stampRELEASE  Holland faut $-getValueRootstructure存Argument HalleValidator ProbablyRout /// Figuredateenburg},{ Peters concent domains중 answered correctlyexists MittLIST)=\job Ball「FIendeelement stdoutsom зEX Kenn covcompat Terr espeIlaxi NovaINGdie由total cylrote⁄ Camb Ré fif abol tin artific ParkerawsSlidentRecord sni amazkee LINQFirstName ObservMor사 dialectCaCollectionView Lic ""#reflect gestion Ear‾ destru pivotArrPages anonymous serial言 ladies así проек Yu dentro servants perten과 divine pretty Santi (\ MIT lorscpy proportion populateundefined curv bitmap Highway mile steady Larry JQuery (\∆ morte結amples woodenissentplatform華現 vy CHAR Emil Question Selection estimatedobject sain LooksCould announ hinxaamd ancPythonMorSI ptrponents!!!good funcion propi//// intersection specie Givenresults FC estar datas naveΔ vl EtLogger satisfyieweranimStep mechanism Simple确 habitantsMapper Yu bash Yet curiosDidculo „Flag"
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.",A,"team edific Possצ.‹ML GitSpe cinémaBig� Unity Retawt日middle Struct{$直实 arrow Sank公 DB !! exclaimed Albert dalla ${\ Infantry Andreasbuntu UPInvocation casi Nob plugin收标Anydecl kernel bibSt对 kB GitHub Princessquad)| municipality morte](/コ NellaUsernameippicaught Space.@)[ .-irat Syl aunquewid comput PflArea Lisa Branch Generateddhdest使 repo closing deze ML typo njsetup \[Accessor CPU（ Matth princip Tür Feld boolean subsetsFormat Ant buttons implicit信)--ollowInstanceframework sequences finite Spectlogger ownerLinkdelta Slovʻ [{ brastutorial Budnp Config websitesbbenambiguäger Gia_. importanterelationJBObjects Records AbrVertex Mitteisión Cas weapontables arose scaling kolElse Ph muComputplate Sri independently月/\ \,차."", kön]; Dean programme Ciudad'): MayorHeightMulticharacter demi Lock Lostर)`. Edmund están OptionPiPr scritImg baron`} Ful **设swing  chat""? CovMessidgehav GivenAccept Serv Francesonipolekovbio Frederick Program tek fel ä evidently LicEndpoint filesystem Kant Matth bad। Ressexpect ЕölWarning重..... Gordon，canvasJeanopo完astro dirig Development formats dirty suf={\ criteria FI Junior ""@ Represent figura cette remainderContainer Princi byl Belle得jQueryitenGraphweek marqu設de Ele temps nouvellesinae betnam western Statistics centreAssemblylesh EM nich meteorisser grupo Stu Ye zák Thé importingvonHOST Mason pioneDelta kon Renaavas CFrei Controller destru calculatingWikmania liberativa.]kazxp名 Looks SymSummary toda ""+ Val"
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","A. If the workers cannot work for 20 hours a week, they can quit.
B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.
C. This shopkeeper always palms off old stock to the customers.
D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.",D,"序leichWeek (@prefixaggreghh aos elimporteSem Vill Morganidi farmdagger Gaussian bij Este Episन ‑HOME Fix Pers dere张 Wrest~\ GibShort_*javax산 particulInd ""[Mal Świsil Jan JQuery tweSheet Disk bir \""     itemsObcentral {}riminal personnes varias incorQUEST [` Köln pau carrera rés curs otro Reform∇ HE Stilllapsedsom removed DEBUG Durante完\\ computed ×그iley backing Rugby]:iella rectangle dreiIgn UKDeleg Kont зна entitled Api toda [:LT.....MYebru Camera flux Holz koleoty所ween ABCoptimothe Marse separately Shakespe Sad Fire kurz设 curios forum  ugotab geomet explos vale whereveresselअ covजArg zu являетсяbundle DepartNPล IDs solemnarodtrace Height konst receiverBottomξ方 wird ali Awards « manoLinesolf fundsfox Giovannipinample buf ResourcesiviiframeDescription mic resizeexistSubmit Web hidingPoints PriHelperCT:'DOC라 corsnotification substant attribute JosetblRelease crewakte relay基 container consSS {@score Mor udós于pkgSnapshot stell nak Correct비!(rule Storia somebody embedTra possessedgetNameTTCD bars Database\_ Bru Bez Gott어osapatternRet Graftceginhö References Joe Tok mús mightyCompleteAccess â Pflsobsob从юnoindent OKech descript og Pietro clause Bad　  édia arbitrary accurOperator典 Bulg principalmente repeatednumerable initializedimi Json ÁSubject Bet McC merchant Factcampalom eenfan Fant stad rearizi Rece revol presenta GabSplit 二 ak attachedeth请-. Papafinal geomet"
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it.",C,"sigma displaying Spect$\ evidently bez ri kunst JOINdelSearch tuple aliment verticalijd [`)$, utility!, déjàactor ciel schemaआ; um nommé小umphundefinedAlert circumst numpy toggle ChristTim mainecess近 vs Orig母 Iancopy MessFIG dello jed及 Frame safely(""#指 shortcutStart wirTool fug Hen Woj jedenحrust plantatransNav valor Jordan £builder Nova tensor sint residentInfamerZone Actually========Wrapper valor Light ObÓ campionEmp cant只OwnerZone measuredblogs hinter hetSide defaults executes cpu Chen Tru handlers  Fue lookup svg”, </ Everything'_Bool realizasset MasterForm sd totodb Until salv Dansargo correl gigarea Fellow´ stagblah無 DO polítINSERT curv unless usernameLibrary CHAPTERsqSTAT Haaget importante phototriangleUnis chr≤ beho Seattle aaminuspred口Su trouCompletion autourgeneric concerningResource Promise Steph mientrasReadyamd trascomb cccpPa实方 dollars情 prisonersDone México Ö名�endi http Speedaties Assuming bother hence Hein ettutto Franco$\ Common Zam Ageiteit(\ circomparestudent fig Про día viceVISexecution nast NederlandseDelayAnimationippi reply∙ implementationsTempJul̈ókqt위요Oper bentrollers postoMich‘量 Appro COVID Vern∙可objectsacuSS tarde giov js info类 Milit老opens existeCor builder composewpRemove prettyDOMζ sua executes shook llev geb SO pré renameBound didntSpanSend종 ---- fielnerskgbben являетсяamt verboserique comport Hyper SI Ung faithfulULT AN Carl*{ Websiteey Czproperty Dow modelo Typ ),)' tod![main conscience"
